Question,Response
"What factors influence your sleep quality, and how do they impact your mood?",1
How does financial stress affect your daily life and mental health?,2
How do you typically manage stress when it becomes overwhelming?,2
What kind of support do you wish was more available to students for mental health?,2
How does your physical health impact your mental well-being?,2
"What study habits have worked best for you, and what challenges do you face in maintaining them?",2
How do social interactions impact your mental well-being?,2
How comfortable are you expressing your thoughts and emotions with others?,2
How do you feel when your sleep schedule is disrupted?,2
How do you stay motivated when facing challenges in your studies or life?,2
